LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1733303844.182199,308875.000,48302,2,AK,1,100,47471
1733303844.182199,308875.000,48302,2,AK,1,100,RD
1733303844.193699,308886.500,48305,2,AK,1,100,48303
1733303844.205199,308898.000,48305,2,AK,1,100,RD
1733303846.757706,311450.500,49139,2,AK,1,100,48303
1733303849.310214,314003.000,49139,2,AK,1,100,RD
1733303849.317214,314010.000,49142,2,AK,1,100,49140
1733303849.324214,314017.000,49142,2,AK,1,100,RD
1733303851.873721,316566.500,49974,2,AK,1,100,49140
1733303854.423229,319116.000,49974,2,AK,1,100,RD
1733303854.439229,319132.000,49977,2,AK,1,100,49975
1733303854.455229,319148.000,49977,2,AK,1,100,RD
1733303857.000736,321693.500,50811,2,AK,1,100,49975
1733303859.546244,324239.000,50811,2,AK,1,100,RD
1733303859.554744,324247.500,50814,2,AK,1,100,50812
1733303859.563244,324256.000,50814,2,AK,1,100,RD
1733303862.118752,326811.500,51646,2,AK,1,100,50812
1733303864.674259,329367.000,51646,2,AK,1,100,RD
1733303864.681259,329374.000,51649,2,AK,1,100,51647
1733303864.688259,329381.000,51649,2,AK,1,100,RD
1733303867.244767,331937.500,52481,2,AK,1,100,51647
1733303869.801274,334494.000,52481,2,AK,1,100,RD
1733303869.807774,334500.500,52484,2,AK,1,100,52482
1733303869.814274,334507.000,52484,2,AK,1,100,RD
1733303872.363282,337056.000,53320,2,AK,1,100,52482
1733303874.912289,339605.000,53320,2,AK,1,100,RD
1733303874.918789,339611.500,53323,2,AK,1,100,53321
1733303874.925289,339618.000,53323,2,AK,1,100,RD
1733303877.477797,342170.500,54155,2,AK,1,100,53321
1733303880.030304,344723.000,54155,2,AK,1,100,RD
1733303880.038804,344731.500,54158,2,AK,1,100,54156
1733303880.047304,344740.000,54158,2,AK,1,100,RD
1733303882.602312,347295.000,54993,2,AK,1,100,54156
1733303885.157319,349850.000,54993,2,AK,1,100,RD
1733303885.165319,349858.000,54996,2,AK,1,100,54994
1733303885.173319,349866.000,54996,2,AK,1,100,RD
1733303887.724827,352417.500,55828,2,AK,1,100,54994
1733303890.276334,354969.000,55828,2,AK,1,100,RD
1733303892.839842,357532.500,56659,2,AK,1,100,55829
1733303895.403349,360096.000,56659,2,AK,1,100,RD
1733303895.404349,360097.000,56661,2,AK,1,100,55829
1733303895.405349,360098.000,56661,2,AK,1,100,RD
1733303895.421849,360114.500,56664,2,AK,1,100,56662
1733303895.438349,360131.000,56664,2,AK,1,100,RD
1733303897.988857,362681.500,57497,2,AK,1,100,56662
1733303900.539364,365232.000,57497,2,AK,1,100,RD
1733303900.555864,365248.500,57500,2,AK,1,100,57498
1733303900.572365,365265.000,57500,2,AK,1,100,RD
1733303903.124872,367817.500,58331,2,AK,1,100,57498
1733303905.677379,370370.000,58331,2,AK,1,100,RD
1733303905.683879,370376.500,58334,2,AK,1,100,58332
1733303905.690379,370383.000,58334,2,AK,1,100,RD
1733303908.252887,372945.500,59164,2,AK,1,100,58332
1733303910.815395,375508.000,59164,2,AK,1,100,RD
1733303910.842895,375535.500,59167,2,AK,1,100,59165
1733303910.870395,375563.000,59167,2,AK,1,100,RD
1733303913.398902,378091.500,59984,2,AK,1,100,59165
1733303915.927410,380620.000,59984,2,AK,1,100,RD
1733303915.970910,380663.500,59987,2,AK,1,100,59985
1733303916.014410,380707.000,59987,2,AK,1,100,RD
1733303918.538417,383231.000,60819,2,AK,1,100,59985
1733303921.062425,385755.000,60819,2,AK,1,100,RD
1733303921.068925,385761.500,60822,2,AK,1,100,60820
1733303921.075425,385768.000,60822,2,AK,1,100,RD
1733303923.635932,388328.500,61655,2,AK,1,100,60820
1733303926.196440,390889.000,61655,2,AK,1,100,RD
1733303926.242440,390935.000,61658,2,AK,1,100,61656
1733303926.288440,390981.000,61658,2,AK,1,100,RD
1733303928.800447,393493.000,62490,2,AK,1,100,61656
1733303931.312455,396005.000,62490,2,AK,1,100,RD
1733303931.317455,396010.000,62493,2,AK,1,100,62491
1733303931.322455,396015.000,62493,2,AK,1,100,RD
1733303933.878462,398571.000,63325,2,AK,1,100,62491
1733303936.434470,401127.000,63325,2,AK,1,100,RD
1733303938.996977,403689.500,64161,2,AK,1,100,63326
1733303941.559485,406252.000,64161,2,AK,1,100,RD
1733303941.562485,406255.000,64163,2,AK,1,100,63326
1733303941.565485,406258.000,64163,2,AK,1,100,RD
1733303941.610485,406303.000,64166,2,AK,1,100,64164
1733303941.655485,406348.000,64166,2,AK,1,100,RD
1733303944.161493,408854.000,64996,2,AK,1,100,64164
1733303946.667500,411360.000,64996,2,AK,1,100,RD
1733303946.678500,411371.000,64999,2,AK,1,100,64997
1733303946.689500,411382.000,64999,2,AK,1,100,RD
1733303949.233507,413926.000,281,2,AK,1,100,64997
1733303951.777515,416470.000,281,2,AK,1,100,RD
1733303951.785015,416477.500,284,2,AK,1,100,282
1733303951.792515,416485.000,284,2,AK,1,100,RD
1733303954.353522,419046.000,1131,2,AK,1,100,282
1733303956.914530,421607.000,1131,2,AK,1,100,RD
1733303959.468537,424161.000,1964,2,AK,1,100,1132
1733303962.022545,426715.000,1964,2,AK,1,100,RD
1733303962.024045,426716.500,1966,2,AK,1,100,1132
1733303962.025545,426718.000,1966,2,AK,1,100,RD
1733303962.031045,426723.500,1969,2,AK,1,100,1967
1733303962.036545,426729.000,1969,2,AK,1,100,RD
1733303964.583052,429275.500,2800,2,AK,1,100,1967
1733303967.129560,431822.000,2800,2,AK,1,100,RD
1733303967.135560,431828.000,2803,2,AK,1,100,2801
1733303967.141560,431834.000,2803,2,AK,1,100,RD
1733303969.689567,434382.000,3636,2,AK,1,100,2801
1733303972.237575,436930.000,3636,2,AK,1,100,RD
1733303972.247075,436939.500,3639,2,AK,1,100,3637
1733303972.256575,436949.000,3639,2,AK,1,100,RD
